i,j,n_i,n_j,n_pairs_used,d_ij,cos_ij,cos_dist,med_T_sim,med_T_dist
0,1,37,200,7400,6.397227740177012,-0.16169545646614408,1.1616954564661441,0.275,0.725
0,2,37,200,7400,7.202660395912156,-0.3427416781380417,1.3427416781380417,0.35294117647058826,0.6470588235294117
0,3,37,200,7400,7.246582061079596,-0.14317272765863553,1.1431727276586354,0.1746031746031746,0.8253968253968254
0,4,37,200,7400,5.6870487827678975,-0.13593817243113746,1.1359381724311375,0.36666666666666664,0.6333333333333333
0,5,37,200,7400,3.292794507648267,0.6368017694762862,0.3631982305237138,0.38095238095238093,0.6190476190476191
0,6,37,200,7400,5.871521840440664,-0.3662857176313674,1.3662857176313674,0.2894736842105263,0.7105263157894737
0,7,37,200,7400,4.602270715553029,0.11401231750619621,0.8859876824938038,0.3333333333333333,0.6666666666666667
0,8,37,170,6290,2.731009781690176,0.7351528273150583,0.26484717268494173,0.323943661971831,0.676056338028169
0,9,37,200,7400,3.8533257108300893,0.3152662220517469,0.6847337779482531,0.3142857142857143,0.6857142857142857
0,10,37,200,7400,4.350761966686671,0.2695964908573374,0.7304035091426626,0.40350877192982454,0.5964912280701755
0,11,37,15,555,3.5643604213894156,0.6489043999290338,0.3510956000709662,0.37254901960784315,0.6274509803921569
0,12,37,200,7400,3.364949967172318,0.568692266182494,0.431307733817506,0.36363636363636365,0.6363636363636364
0,13,37,200,7400,5.346524730738298,-0.26577692219140087,1.2657769221914008,0.3582089552238806,0.6417910447761195
0,14,37,200,7400,4.6096038966901896,-0.05531734917757265,1.0553173491775727,0.36065573770491804,0.639344262295082
0,15,37,200,7400,6.035845642624989,-0.4090912277712809,1.4090912277712808,0.3287671232876712,0.6712328767123288
0,16,37,200,7400,5.907931878302376,-0.492813304547434,1.4928133045474339,0.3333333333333333,0.6666666666666667
0,17,37,91,3367,5.142697499387517,-0.08367028390045224,1.0836702839004522,0.20967741935483872,0.7903225806451613
0,18,37,80,2960,5.155326585808013,0.13350006479572402,0.8664999352042759,0.32786885245901637,0.6721311475409837
0,19,37,200,7400,5.954466482036387,-0.6221864236350753,1.6221864236350751,0.3,0.7
0,20,37,200,7400,4.107555551358947,0.2676232795350181,0.7323767204649819,0.38,0.62
0,21,37,200,7400,5.457207784649982,-0.2876546408840498,1.2876546408840497,0.27692307692307694,0.7230769230769231
0,22,37,200,7400,4.407133366769481,0.09173760820902079,0.9082623917909792,0.3018867924528302,0.6981132075471699
0,23,37,200,7400,4.363539318704413,0.165012379154833,0.834987620845167,0.35519713261648744,0.6448028673835126
0,24,37,200,7400,4.7343808706386,0.034962960343331004,0.965037039656669,0.352112676056338,0.647887323943662
0,25,37,200,7400,4.316249872892167,0.2014111370948384,0.7985888629051616,0.3237365368682684,0.6762634631317316
0,26,37,200,7400,6.395604046272079,-0.6535642584056589,1.653564258405659,0.30666666666666664,0.6933333333333334
0,27,37,200,7400,4.449125724602056,0.17568204714743937,0.8243179528525606,0.33962264150943394,0.6603773584905661
0,28,37,200,7400,4.494439289269872,0.08039670539236193,0.919603294607638,0.38061703554661297,0.619382964453387
0,29,37,200,7400,3.7717605867250428,0.35141846481596867,0.6485815351840314,0.3787878787878788,0.6212121212121212
1,2,200,200,40000,5.115488969154041,0.37183157618433627,0.6281684238156637,0.35064935064935066,0.6493506493506493
1,3,200,200,40000,6.180388762749671,0.2261775715479844,0.7738224284520157,0.23333333333333334,0.7666666666666666
1,4,200,200,40000,5.243891917153538,0.12452866595120946,0.8754713340487905,0.3717948717948718,0.6282051282051282
1,5,200,200,40000,4.72633260531337,0.31568922263426313,0.6843107773657369,0.25,0.75
1,6,200,200,40000,4.718205813440122,0.2270735804195456,0.7729264195804544,0.5151515151515151,0.48484848484848486
1,7,200,200,40000,3.877494992192679,0.48056591988642483,0.5194340801135752,0.3132530120481928,0.6867469879518072
1,8,200,170,34000,6.303562655773944,-0.43914407402037553,1.4391440740203756,0.19753086419753085,0.8024691358024691
1,9,200,200,40000,4.6920431492718455,0.006468944845797013,0.993531055154203,0.2647058823529412,0.7352941176470589
1,10,200,200,40000,5.605217838939626,-0.11434502569137645,1.1143450256913765,0.29850746268656714,0.7014925373134329
1,11,200,15,3000,6.153504891772883,0.021091412150864623,0.9789085878491354,0.20468236582694416,0.7953176341730559
1,12,200,200,40000,5.601857536617063,-0.16177986126135463,1.1617798612613546,0.25,0.75
1,13,200,200,40000,3.4499396653180456,0.6119815340412332,0.38801846595876677,0.323943661971831,0.676056338028169
1,14,200,200,40000,4.120767221403551,0.348028753170159,0.651971246829841,0.33766233766233766,0.6623376623376623
1,15,200,200,40000,3.9802726307803113,0.4760845719785668,0.5239154280214332,0.37037037037037035,0.6296296296296297
1,16,200,200,40000,4.385488596005233,0.30901358090795056,0.6909864190920494,0.36764705882352944,0.6323529411764706
1,17,200,91,18200,5.0970845130802465,0.052875967803134215,0.9471240321968658,0.313579163008487,0.686420836991513
1,18,200,80,16000,6.46925307008589,-0.25298485884439287,1.2529848588443928,0.2727272727272727,0.7272727272727273
1,19,200,200,40000,4.8665765743949745,0.08182552663038441,0.9181744733696156,0.358974358974359,0.641025641025641
1,20,200,200,40000,5.720668241543327,-0.3701894358172801,1.3701894358172801,0.313953488372093,0.686046511627907
1,21,200,200,40000,5.901299523606305,-0.3608372158153656,1.3608372158153657,0.31746031746031744,0.6825396825396826
1,22,200,200,40000,4.42018041849354,0.22488062148505428,0.7751193785149457,0.22727272727272727,0.7727272727272727
1,23,200,200,40000,4.83608382360917,0.0806080357207871,0.9193919642792129,0.2891566265060241,0.7108433734939759
1,24,200,200,40000,5.697230074501142,-0.2830532638629596,1.2830532638629597,0.2972972972972973,0.7027027027027026
1,25,200,200,40000,3.929086955438068,0.45412141717663224,0.5458785828233678,0.28169014084507044,0.7183098591549295
1,26,200,200,40000,5.39508478175514,-0.04386638256494909,1.043866382564949,0.3522727272727273,0.6477272727272727
1,27,200,200,40000,4.778151354956444,0.15233563966062244,0.8476643603393775,0.27710843373493976,0.7228915662650602
1,28,200,200,40000,3.1020016554530385,0.7284036944764853,0.27159630552351466,0.3442622950819672,0.6557377049180328
1,29,200,200,40000,4.529578106269146,0.02289590650907813,0.9771040934909219,0.30864197530864196,0.691358024691358
2,3,200,200,40000,3.7637969810398655,0.7377102477229475,0.26228975227705253,0.35714285714285715,0.6428571428571428
2,4,200,200,40000,3.5059908398365254,0.6771596676350927,0.3228403323649073,0.5396825396825397,0.46031746031746035
2,5,200,200,40000,6.502016992617072,-0.1822704449125085,1.1822704449125085,0.38235294117647056,0.6176470588235294
2,6,200,200,40000,5.673318171805504,-0.012778099600747349,1.0127780996007474,0.3855421686746988,0.6144578313253012
2,7,200,200,40000,5.161189158764478,0.13017158902966078,0.8698284109703392,0.4,0.6
2,8,200,170,34000,6.538141307957532,-0.3855020768259001,1.3855020768259,0.25595575723199093,0.7440442427680091
2,9,200,200,40000,5.165478604239656,-0.06243923445503593,1.062439234455036,0.41935483870967744,0.5806451612903225
2,10,200,200,40000,4.665114020892992,0.3489249302166967,0.6510750697833033,0.4,0.6
2,11,200,15,3000,8.36851958415069,-0.6608302413876042,1.6608302413876042,0.23636363636363636,0.7636363636363637
2,12,200,200,40000,6.523692047588404,-0.4284002185913607,1.4284002185913607,0.35294117647058826,0.6470588235294117
2,13,200,200,40000,4.969264161161271,0.18755423838207952,0.8124457616179205,0.48148148148148145,0.5185185185185186
2,14,200,200,40000,5.8280217823235185,-0.3784217386698185,1.3784217386698185,0.375,0.625
2,15,200,200,40000,5.4700379601133,0.08340538577592428,0.9165946142240757,0.48484848484848486,0.5151515151515151
2,16,200,200,40000,3.2283394364942914,0.7525138634974149,0.2474861365025851,0.5084745762711864,0.4915254237288136
2,17,200,91,18200,6.13781300045466,-0.25021210131978305,1.250212101319783,0.19117647058823528,0.8088235294117647
2,18,200,80,16000,8.14521533632371,-0.8133561373338347,1.8133561373338347,0.29310344827586204,0.7068965517241379
2,19,200,200,40000,3.728535494975205,0.6256717618481479,0.3743282381518521,0.4166666666666667,0.5833333333333333
2,20,200,200,40000,5.494361039755604,-0.07665534665318835,1.0766553466531883,0.3835616438356164,0.6164383561643836
2,21,200,200,40000,5.649454701123885,-0.08067241061696677,1.0806724106169667,0.39655172413793105,0.603448275862069
2,22,200,200,40000,4.816004640451175,0.200276807208842,0.799723192791158,0.31746031746031744,0.6825396825396826
2,23,200,200,40000,5.5058198632868125,-0.07094793964211404,1.070947939642114,0.4230769230769231,0.5769230769230769
2,24,200,200,40000,6.5848483754524425,-0.5549663739836799,1.5549663739836799,0.4090909090909091,0.5909090909090908
2,25,200,200,40000,5.383176180739032,0.005513420837552295,0.9944865791624478,0.31746031746031744,0.6825396825396826
