rdkit,canonical_universe_N,medJ_canonical,medJ_inchikey,medJ_murcko,medJ_murcko_generic,medJ_formula,medJ_composition
RDKit 2024.x (cross-arch),2493956,5.605660471373761e-05,6.1724931260872e-05,0.018508771240700442,0.08683825068005858,0.2122612350868517,0.7142857142857143
RDKit 2020.09.1 (native),2996465,4.502093473465161e-05,5.002276035596196e-05,0.017330917874396137,0.08783211060123344,0.19710346195813908,0.7183098591549296
