fingerprint,rdkit,med_W,med_A,med_R,AUC_W_A,AUC_W_R,R2_euclidean,rho_euclidean,p_euclidean,R2_cosine,rho_cosine,p_cosine
"ECFP (Morgan r=2, 2048-bit)",RDKit 2024.x (cross-arch),0.0833333358168602,0.07999999821186066,0.07999999821186066,0.5234360634,0.522411696,0.00036131200901245997,-0.002867344943693358,0.47622465766509015,0.0037718676846377752,-0.05449086596321796,0.8716173482741161
"ECFP (Morgan r=2, 2048-bit)",RDKit 2020.09.1 (native),0.08219178020954132,0.07920791953802109,0.07999999821186066,0.5244835741,0.519464354,0.0038096813635084548,0.04076855225804173,0.8018371579340364,0.005461329002852677,-0.08090727564055543,0.9540407691976132
MACCS (166-bit),RDKit 2024.x (cross-arch),0.40963855385780334,0.39240506291389465,0.3932584226131439,0.5414838657,0.53823439,0.024150193205575765,0.13859830434490003,0.9981124655473848,0.0022774217348885406,-0.053701743859434416,0.8681358745204374
MACCS (166-bit),RDKit 2020.09.1 (native),0.41333332657814026,0.3956044018268585,0.3978494703769684,0.545266095,0.541356549,0.01956921900776054,0.10868640002114113,0.9883058505295487,0.0019039715589801443,-0.04764351120882149,0.8392519414537786
