fingerprint,architecture,K,med_W,W_q25,W_q75,med_A,A_q25,A_q75,med_R,R_q25,R_q75,AUC_W_A,AUC_W_A_q25,AUC_W_A_q75,AUC_W_R,AUC_W_R_q25,AUC_W_R_q75,R2_euclidean,rho_euclidean,p_euclidean,R2_cosine,rho_cosine,p_cosine
"ECFP (Morgan r=2, 2048-bit)",MolMiner,30,0.2028985470533371,0.15584415197372437,0.2711864411830902,0.12121212482452393,0.09259258955717087,0.1515151560306549,0.125,0.0972222238779068,0.15625,0.8426298562,0.77853368,0.910413785,0.824549348,0.7603805,0.9132213025,0.331585185815236,-0.5117251649100416,1.0527101492344632e-30,0.12116308166676237,0.3381958942276016,2.1148188393735383e-13
"ECFP (Morgan r=2, 2048-bit)",HierVAE,60,0.20338982343673706,0.15463916957378387,0.27419355511665344,0.11428571492433548,0.08860759437084198,0.14130434393882751,0.11688311398029327,0.09090909361839294,0.14444445073604584,0.8684193104,0.8288983175,0.9499931425,0.856795244,0.8093200975,0.946683165,0.04730413436308345,-0.19204545275958987,1.8214240689603517e-16,0.05089786881672165,0.20878821170099,3.4718171995507265e-19
"ECFP (Morgan r=2, 2048-bit)",GDSS,30,0.0833333358168602,0.0625,0.1034482792019844,0.07999999821186066,0.05999999865889549,0.10101009905338287,0.07999999821186066,0.0602409653365612,0.10112359374761581,0.5234360634,0.51813865,0.53000272,0.522411696,0.5149678775,0.53476633,0.00036131200901245997,-0.002867344943693358,0.47622465766509015,0.0037718676846377752,-0.05449086596321796,0.8716173482741161
MACCS (166-bit),MolMiner,30,0.5636363625526428,0.44680851697921753,0.6829268336296082,0.3684210479259491,0.29032257199287415,0.4516128897666931,0.3888888955116272,0.31343284249305725,0.4754098355770111,0.8155221624,0.777951265,0.92862528,0.783894732,0.726738315,0.911036675,0.13017542209228272,-0.35804442543270576,6.647183364164157e-15,0.05127831527856064,0.21376516959615846,3.4347757767540536e-06
MACCS (166-bit),HierVAE,60,0.5393258333206177,0.4423076808452606,0.6419752836227417,0.3802816867828369,0.3076923191547394,0.4545454680919647,0.39024388790130615,0.3164556920528412,0.4655172526836395,0.8132262821,0.76780064,0.9002399999999999,0.794895017,0.7217030175,0.89555324,0.021205213308473914,-0.1448763797347817,4.586525362123868e-10,0.04211541514692496,0.1861637667259674,1.442874285580343e-15
MACCS (166-bit),GDSS,30,0.40963855385780334,0.3294117748737335,0.483146071434021,0.39240506291389465,0.31343284249305725,0.46590909361839294,0.3932584226131439,0.31521740555763245,0.4680851101875305,0.5414838657,0.52286564,0.5685590875,0.53823439,0.48634582000000004,0.5930005075,0.024150193205575765,0.13859830434490003,0.9981124655473848,0.0022774217348885406,-0.053701743859434416,0.8681358745204374
